specialty,uni_short,uni_full,bm_max,bm,applications
Початкова освіта,"КЗ ""Уманський ГПФК ім. Т.Г. Шевченка Черкаської обласної ради""","Комунальний заклад ""Уманський гуманітарно-педагогічний фаховий коледж ім. Т.Г. Шевченка Черкаської обласної ради""",N/A,11,17
Фізична культура і спорт,НУЧК імені Т.Г. Шевченка,"Національний університет ""Чернігівський колегіум"" імені Т.Г. Шевченка",N/A,11,85
Професійна освіта,НУЧК імені Т.Г. Шевченка,"Національний університет ""Чернігівський колегіум"" імені Т.Г. Шевченка",11,N/A,37
Професійна освіта,НУЧК імені Т.Г. Шевченка,"Національний університет ""Чернігівський колегіум"" імені Т.Г. Шевченка",11,N/A,24
Середня освіта,УДПУ імені Павла Тичини,Уманський державний педагогічний університет імені Павла Тичини,11,N/A,14
Середня освіта,УДПУ імені Павла Тичини,Уманський державний педагогічний університет імені Павла Тичини,11,N/A,31
Середня освіта,УДПУ імені Павла Тичини,Уманський державний педагогічний університет імені Павла Тичини,11,N/A,29
Середня освіта,УДПУ імені Павла Тичини,Уманський державний педагогічний університет імені Павла Тичини,11,N/A,42
Середня освіта,УДПУ імені Павла Тичини,Уманський державний педагогічний університет імені Павла Тичини,11,N/A,34
Середня освіта,ЧНУ ім. Богдана Хмельницького,Черкаський національний університет імені Богдана Хмельницького,11,N/A,16
Екологія,ЧНУ ім. Богдана Хмельницького,Черкаський національний університет імені Богдана Хмельницького,11,N/A,41
Середня освіта,К-ПНУ,Кам'янець-Подільський національний університет імені Івана Огієнка,11,N/A,16
Середня освіта,К-ПНУ,Кам'янець-Подільський національний університет імені Івана Огієнка,11,N/A,27
Автомобільний транспорт,ХНУ,Хмельницький національний університет,11,N/A,35
Терапія та реабілітація,ХДУ,Херсонський державний університет,11,N/A,39
Інженерія програмного забезпечення,ХДУ,Херсонський державний університет,11,N/A,32
"Фінанси, банківська справа, страхування та фондовий ринок",Каразінський університет,Харківський національний університет імені В.Н. Каразіна,11,N/A,164
Філологія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,11,N/A,157
Фізика та астрономія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,11,N/A,20
Туризм та рекреація,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,11,N/A,135
Електрична інженерія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,11,N/A,46
Водні біоресурси та аквакультура,ХДАЕУ,Херсонський державний аграрно-економічний університет,11,N/A,44
Технології захисту навколишнього середовища,ХНУМГ ім. О.М. Бекетова,Харківський національний університет міського господарства імені О.М. Бекетова,11,N/A,18
Готельно-ресторанна справа та кейтеринг,ХНУМГ ім. О.М. Бекетова,Харківський національний університет міського господарства імені О.М. Бекетова,11,N/A,158
Машинобудування,ХНАДУ,Харківський національний автомобільно-дорожній університет,11,N/A,21
Матеріалознавство,ХНАДУ,Харківський національний автомобільно-дорожній університет,11,N/A,12
Залізничний транспорт,УкрДУЗТ,Український державний університет залізничного транспорту,11,N/A,25
Музичне мистецтво,ХНУМ,Харківський національний університет мистецтв імені І.П. Котляревського,N/A,11,16
Музичне мистецтво,ХНУМ,Харківський національний університет мистецтв імені І.П. Котляревського,N/A,11,17
Економіка та міжнародні економічні відносини,ХНЕУ ім. С. Кузнеця,Харківський національний економічний університет імені Семена Кузнеця,11,N/A,115
Машинобудування,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",11,N/A,19
Хімічні технології та інженерія,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",11,N/A,30
Фізична культура і спорт,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",N/A,11,40
Комп'ютерні науки,ХАІ,"НАЦІОНАЛЬНИЙ АЕРОКОСМІЧНИЙ УНІВЕРСИТЕТ ""ХАРКІВСЬКИЙ АВІАЦІЙНИЙ ІНСТИТУТ""",11,N/A,16
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ХАІ,"НАЦІОНАЛЬНИЙ АЕРОКОСМІЧНИЙ УНІВЕРСИТЕТ ""ХАРКІВСЬКИЙ АВІАЦІЙНИЙ ІНСТИТУТ""",11,N/A,31
Автомобільний транспорт,ТНТУ,Тернопільський національний технічний університет імені Івана Пулюя,11,N/A,83
Садово-паркове господарство,"ВП НУБіП України ""БАТІ""","Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",11,N/A,25
Соціальна робота та консультування,ТНПУ,Тернопільський національний педагогічний університет імені Володимира Гнатюка,11,N/A,44
Середня освіта,СумДПУ імені А. С. Макаренка,Сумський державний педагогічний університет імені А. С. Макаренка,11,N/A,24
Матеріалознавство,СумДУ,Сумський державний університет,11,N/A,10
Маркетинг,СумДУ,Сумський державний університет,11,N/A,165
Початкова освіта,НаУОА,"Національний університет ""Острозька академія""",11,N/A,54
Садово-паркове господарство,ОНУ імені І. І. Мечникова,Одеський національний університет імені І. І. Мечникова,11,N/A,29
Водні біоресурси та аквакультура,ОНУ імені І. І. Мечникова,Одеський національний університет імені І. І. Мечникова,11,N/A,31
Геодезія та землеустрій,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",11,N/A,176
"Бібліотечна, інформаційна та архівна справа",Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",11,N/A,45
Геодезія та землеустрій,ОДАБА,Одеська державна академія будівництва та архітектури,11,N/A,73
Маркетинг,Одеська політехніка,"Національний університет ""Одеська політехніка""",11,N/A,191
Музичне мистецтво,ОНМА ім. А.В. Нежданової,Одеська національна музична академія імені А.В. Нежданової,N/A,11,27
Машинобудування,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,11,N/A,14
Психологія,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,11,N/A,154
Морський та внутрішній водний транспорт,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,11,N/A,13
Менеджмент,НУОМА,"Національний університет ""Одеська морська академія""",11,N/A,206
Професійна освіта,МНАУ,Миколаївський національний аграрний університет,11,N/A,23
Комп'ютерні науки,МНАУ,Миколаївський національний аграрний університет,11,N/A,122
Біотехнології та біоінженерія,МНАУ,Миколаївський національний аграрний університет,11,N/A,25
Менеджмент,Львівська політехніка,"Національний університет ""Львівська політехніка""",11,N/A,753
Дизайн,Львівська політехніка,"Національний університет ""Львівська політехніка""",N/A,11,274
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,11,N/A,285
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,11,N/A,55
Середня освіта,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,11,N/A,69
Середня освіта,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,11,N/A,30
Електрична інженерія,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,11,N/A,38
Прикладна механіка,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,11,N/A,52
Екологія,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,11,N/A,31
Автомобільний транспорт,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,11,N/A,77
Професійна освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",11,N/A,34
Середня освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",11,N/A,64
Професійна освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",11,N/A,81
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ЦНТУ,Центральноукраїнський національний технічний університет,11,N/A,22
Середня освіта,УГСП,Університет Григорія Сковороди в Переяславі,11,N/A,43
Прикладна механіка,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,11,N/A,62
Філологія,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,11,N/A,193
Спеціальна освіта,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,11,N/A,260
