specialty,uni_short,uni_full,bm_max,bm,applications
Будівництво та цивільна інженерія,КНУБА,Київський національний університет будівництва і архітектури,435,N/A,1185
Будівництво та цивільна інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",319,N/A,1328
Інформаційні системи і технології,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,280,N/A,1019
Агрономія,НУБіП України,Національний університет біоресурсів і природокористування України,240,N/A,1110
Комп'ютерна інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",230,N/A,1164
Інженерія програмного забезпечення,ХНУРЕ,Харківський національний університет радіоелектроніки,225,N/A,548
Прикладна механіка,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,223,N/A,439
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,222,N/A,387
Інженерія програмного забезпечення,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,220,N/A,2159
Харчові технології,НУХТ,Національний університет харчових технологій,190,N/A,330
Електрична інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,190,N/A,377
Будівництво та цивільна інженерія,ОДАБА,Одеська державна академія будівництва та архітектури,182,N/A,435
Авіаційна та ракетно-космічна техніка,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,180,N/A,529
Комп'ютерна інженерія,ХНУРЕ,Харківський національний університет радіоелектроніки,170,N/A,347
Комп'ютерна інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,170,N/A,802
Кібербезпека та захист інформації,Львівська політехніка,"Національний університет ""Львівська політехніка""",169,N/A,2156
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,160,N/A,698
Архітектура та містобудування,КНУБА,Київський національний університет будівництва і архітектури,N/A,155,1099
Кібербезпека та захист інформації,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,154,N/A,1580
Терапія та реабілітація,ЛДУФК ім. Івана Боберського,Львівський державний університет фізичної культури імені Івана Боберського,152,N/A,1312
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,957
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,708
Інженерія програмного забезпечення,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,1585
Біологія та біохімія,КНУТШ,Київський національний університет імені Тараса Шевченка,150,N/A,278
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,145,N/A,280
Інженерія програмного забезпечення,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",144,N/A,512
Комп'ютерні науки,СумДУ,Сумський державний університет,141,N/A,273
Комп'ютерні науки,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,141,N/A,1194
Інженерія програмного забезпечення,Одеська політехніка,"Національний університет ""Одеська політехніка""",140,N/A,494
Морський та внутрішній водний транспорт,НУОМА,"Національний університет ""Одеська морська академія""",140,N/A,497
Комп'ютерні науки,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,140,N/A,477
Фізична культура і спорт,НУФВСУ,Національний університет фізичного виховання і спорту України,N/A,137,457
Будівництво та цивільна інженерія,НУВГП,Національний університет водного господарства та природокористування,131,N/A,459
Комп'ютерні науки,Одеська політехніка,"Національний університет ""Одеська політехніка""",130,N/A,465
Агроінженерія,ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,126,N/A,209
Терапія та реабілітація,НУФВСУ,Національний університет фізичного виховання і спорту України,126,N/A,683
Системний аналіз та наука про дані,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,125,N/A,631
Комп'ютерні науки,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,125,N/A,1334
Комп'ютерні науки,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,125,N/A,331
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,125,N/A,338
Комп'ютерні науки,КНУТШ,Київський національний університет імені Тараса Шевченка,125,N/A,520
Фізична культура і спорт,ЛДУФК ім. Івана Боберського,Львівський державний університет фізичної культури імені Івана Боберського,N/A,118,521
Право,КНУТШ,Київський національний університет імені Тараса Шевченка,111,N/A,2313
Агрономія,УНУ,Уманський національний університет,110,N/A,348
Інформаційні системи і технології,Львівська політехніка,"Національний університет ""Львівська політехніка""",110,N/A,587
Електрична інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",110,N/A,530
Архітектура та містобудування,Львівська політехніка,"Національний університет ""Львівська політехніка""",N/A,110,1013
Біологія та біохімія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,109,N/A,211
Право,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,108,N/A,2826
Право,НЮУ ім. Ярослава Мудрого,Національний юридичний університет імені Ярослава Мудрого,106,N/A,974
Фізична культура і спорт,ХДАФК,Харківська державна академія фізичної культури,N/A,105,218
Агрономія,ДДАЕУ,Дніпровський державний аграрно-економічний університет,103,N/A,413
Прикладна математика,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,101,N/A,354
Комп'ютерна інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,101,N/A,351
Кібербезпека та захист інформації,КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",100,N/A,449
Інженерія програмного забезпечення,КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",100,N/A,463
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",100,N/A,648
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",100,N/A,1069
Агрономія,ВНАУ,Вінницький національний аграрний університет,100,N/A,886
Електрична інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,100,N/A,257
Біотехнології та біоінженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,100,N/A,426
Агрономія,ПДАУ,Полтавський державний аграрний університет,99,N/A,539
Гірництво та нафтогазові технології,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",98,N/A,513
Хімія,КНУТШ,Київський національний університет імені Тараса Шевченка,97,N/A,193
Агрономія,ДБТУ,Державний біотехнологічний університет,94,N/A,171
Психологія,КНУТШ,Київський національний університет імені Тараса Шевченка,92,N/A,1788
Будівництво та цивільна інженерія,УДУНТ,Український державний університет науки і технологій,90,N/A,189
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,90,N/A,559
Агрономія,БНАУ,Білоцерківський національний аграрний університет,90,N/A,313
Терапія та реабілітація,ІФНМУ,Івано-Франківський національний медичний університет,90,N/A,1202
Інженерія програмного забезпечення,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,90,N/A,329
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,90,N/A,221
Прикладна математика,КНУТШ,Київський національний університет імені Тараса Шевченка,90,N/A,251
Середня освіта,КНЛУ,Київський національний лінгвістичний університет,90,N/A,233
Середня освіта,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,88,N/A,224
Машинобудування,ХНАДУ,Харківський національний автомобільно-дорожній університет,87,N/A,128
Комп'ютерні науки,ХНУРЕ,Харківський національний університет радіоелектроніки,87,N/A,401
Філологія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,86,N/A,728
Агроінженерія,ПДАУ,Полтавський державний аграрний університет,86,N/A,318
Історія та археологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,86,N/A,540
Комп'ютерні науки,ХНУРЕ,Харківський національний університет радіоелектроніки,85,N/A,295
Будівництво та цивільна інженерія,ЛНТУ,Луцький національний технічний університет,85,N/A,468
Хімічні технології та інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,85,N/A,184
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,84,N/A,2320
Агрономія,МНАУ,Миколаївський національний аграрний університет,83,N/A,187
Системний аналіз та наука про дані,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,82,N/A,491
Машинобудування,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,82,N/A,210
Середня освіта,ВДПУ,Вінницький державний педагогічний університет імені Михайла Коцюбинського,81,N/A,190
Харчові технології,ДБТУ,Державний біотехнологічний університет,80,N/A,140
Електрична інженерія,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",80,N/A,205
"Електроніка, електронні комунікації, приладобудування та радіотехніка",Львівська політехніка,"Національний університет ""Львівська політехніка""",80,N/A,195
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,80,N/A,1721
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,80,N/A,269
Кібербезпека та захист інформації,КНУТШ,Київський національний університет імені Тараса Шевченка,80,N/A,991
Агроінженерія,ДБТУ,Державний біотехнологічний університет,79,N/A,132
Морський та внутрішній водний транспорт,ОНМУ,Одеський національний морський університет,79,N/A,528
Журналістика,КНУТШ,Київський національний університет імені Тараса Шевченка,78,N/A,1275
Комп'ютерні науки,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",77,N/A,311
Електрична інженерія,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,77,N/A,269
Дошкільна освіта,ВДПУ,Вінницький державний педагогічний університет імені Михайла Коцюбинського,77,N/A,173
Право,НЮУ ім. Ярослава Мудрого,Національний юридичний університет імені Ярослава Мудрого,76,N/A,627
Автомобільний транспорт,Львівська політехніка,"Національний університет ""Львівська політехніка""",76,N/A,592
Гірництво та нафтогазові технології,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,76,N/A,315
Біологія та біохімія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,75,N/A,127
Архітектура та містобудування,ОДАБА,Одеська державна академія будівництва та архітектури,N/A,75,329
Електрична інженерія,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",75,N/A,141
Тваринництво,НУБіП України,Національний університет біоресурсів і природокористування України,75,N/A,132
Інженерія програмного забезпечення,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,75,N/A,431
Терапія та реабілітація,НМУ імені О.О. Богомольця,Національний медичний університет імені О.О. Богомольця,75,N/A,1185
Дошкільна освіта,РДГУ,Рівненський державний гуманітарний університет,74,N/A,147
Агроінженерія,ДДАЕУ,Дніпровський державний аграрно-економічний університет,74,N/A,221
Електрична інженерія,ЛНТУ,Луцький національний технічний університет,74,N/A,304
Харчові технології,НУХТ,Національний університет харчових технологій,74,N/A,371
Інженерія програмного забезпечення,КНУТШ,Київський національний університет імені Тараса Шевченка,73,N/A,1112
Металургія,УДУНТ,Український державний університет науки і технологій,72,N/A,108
Комп'ютерна інженерія,"НУ ""Чернігівська політехніка""","Національний університет ""Чернігівська політехніка""",72,N/A,202
Комп'ютерні науки,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,72,N/A,401
Право,"НУ ""ОЮА""","Національний університет ""Одеська юридична академія""",72,N/A,1046
Інженерія програмного забезпечення,ДНУ,Дніпровський національний університет імені Олеся Гончара,72,N/A,315
Право,НЮУ ім. Ярослава Мудрого,Національний юридичний університет імені Ярослава Мудрого,71,N/A,529
Інженерія програмного забезпечення,Житомирська політехніка,"Державний університет ""Житомирська політехніка""",71,N/A,416
Середня освіта,ЧНУ,Чернівецький національний університет імені Юрія Федьковича,70,N/A,146
Право,"НУ ""ОЮА""","Національний університет ""Одеська юридична академія""",70,N/A,555
Кібербезпека та захист інформації,Одеська політехніка,"Національний університет ""Одеська політехніка""",70,N/A,499
Хімічні технології та інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",70,N/A,166
Машинобудування,Львівська політехніка,"Національний університет ""Львівська політехніка""",70,N/A,278
Біомедична інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,70,N/A,414
Науки про Землю,КНУТШ,Київський національний університет імені Тараса Шевченка,70,N/A,70
Морський та внутрішній водний транспорт,НУОМА,"Національний університет ""Одеська морська академія""",69,N/A,160
Початкова освіта,ВДПУ,Вінницький державний педагогічний університет імені Михайла Коцюбинського,69,N/A,200
Агрономія,СНАУ,Сумський національний аграрний університет,68,N/A,204
Прикладна механіка,Львівська політехніка,"Національний університет ""Львівська політехніка""",68,N/A,164
Право,НаУКМА,"Національний університет ""Києво-Могилянська академія""",68,N/A,1041
Комп'ютерна інженерія,КНУТШ,Київський національний університет імені Тараса Шевченка,68,N/A,247
Інформаційно-вимірювальні технології,Львівська політехніка,"Національний університет ""Львівська політехніка""",67,N/A,205
Агрономія,Поліський університет,Поліський національний університет,67,N/A,302
Інженерія програмного забезпечення,ВНТУ,Вінницький національний технічний університет,67,N/A,780
Комп'ютерні науки,КНЕУ ІМ.В. ГЕТЬМАНА,КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ ЕКОНОМІЧНИЙ УНІВЕРСИТЕТ ІМЕНІ ВАДИМА ГЕТЬМАНА,67,N/A,586
Агрономія,"ЗВО ""ПДУ""",Заклад вищої освіти «Подільський державний університет»,66,N/A,264
Кібербезпека та захист інформації,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,66,N/A,316
Комп'ютерні науки,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",66,N/A,427
Початкова освіта,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,66,N/A,168
Будівництво та цивільна інженерія,ХНУМГ ім. О.М. Бекетова,Харківський національний університет міського господарства імені О.М. Бекетова,65,N/A,177
Комп'ютерна інженерія,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",65,N/A,239
Право,НЮУ ім. Ярослава Мудрого,Національний юридичний університет імені Ярослава Мудрого,65,N/A,648
Фізика та астрономія,КНУТШ,Київський національний університет імені Тараса Шевченка,65,N/A,94
Філологія,Львівська політехніка,"Національний університет ""Львівська політехніка""",64,N/A,1257
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",Львівська політехніка,"Національний університет ""Львівська політехніка""",64,N/A,491
Інженерія програмного забезпечення,"НУ ""Запорізька політехніка""","Національний університет ""Запорізька політехніка""",64,N/A,146
Гірництво та нафтогазові технології,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",63,N/A,120
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ВНТУ,Вінницький національний технічний університет,63,N/A,232
Середня освіта,УДУ імені Михайла Драгоманова,Український державний університет імені Михайла Драгоманова,62,N/A,129
Металургія,УДУНТ,Український державний університет науки і технологій,62,N/A,143
Середня освіта,ТНПУ,Тернопільський національний педагогічний університет імені Володимира Гнатюка,62,N/A,161
Терапія та реабілітація,ТНМУ,Тернопільський національний медичний університет імені і.Я. Горбачевського Міністерства охорони здоров`я України,62,N/A,1078
Прикладна математика,Львівська політехніка,"Національний університет ""Львівська політехніка""",62,N/A,435
Прикладна математика,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,62,N/A,279
Менеджмент,УМСФ,Університет митної справи та фінансів,62,N/A,459
Лісове господарство,НУБіП України,Національний університет біоресурсів і природокористування України,62,N/A,192
Агроінженерія,НУБіП України,Національний університет біоресурсів і природокористування України,62,N/A,307
Комп'ютерні науки,КНУТШ,Київський національний університет імені Тараса Шевченка,62,N/A,178
Комп'ютерні науки,КНУТШ,Київський національний університет імені Тараса Шевченка,62,N/A,551
Автомобільний транспорт,Львівська політехніка,"Національний університет ""Львівська політехніка""",61,N/A,421
Гірництво та нафтогазові технології,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",61,N/A,118
Енерговиробництво,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,61,N/A,220
Інженерія програмного забезпечення,НаУКМА,"Національний університет ""Києво-Могилянська академія""",61,N/A,489
Комп'ютерні науки,ХНУРЕ,Харківський національний університет радіоелектроніки,60,N/A,140
"Електроніка, електронні комунікації, приладобудування та радіотехніка",ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,60,N/A,59
Початкова освіта,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,60,N/A,161
Початкова освіта,ЖДУ,Житомирський державний університет імені Івана Франка,60,N/A,169
Середня освіта,КДПУ,Криворізький державний педагогічний університет,60,N/A,89
Початкова освіта,КДПУ,Криворізький державний педагогічний університет,60,N/A,91
Екологія,НУБіП України,Національний університет біоресурсів і природокористування України,60,N/A,230
Філологія,КНУТШ,Київський національний університет імені Тараса Шевченка,60,N/A,224
Будівництво та цивільна інженерія,КНУБА,Київський національний університет будівництва і архітектури,60,N/A,103
Прикладна фізика та наноматеріали,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,59,N/A,88
Комп'ютерні науки,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,59,N/A,152
Історія та археологія,Каразінський університет,Харківський національний університет імені В.Н. Каразіна,59,N/A,166
Автомобільний транспорт,ХНАДУ,Харківський національний автомобільно-дорожній університет,59,N/A,229
Початкова освіта,РДГУ,Рівненський державний гуманітарний університет,59,N/A,155
Математика,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,59,N/A,126
Комп'ютерні науки,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",58,N/A,230
Право,НЮУ ім. Ярослава Мудрого,Національний юридичний університет імені Ярослава Мудрого,58,N/A,338
Електрична інженерія,"ВП НУБіП України ""БАТІ""","Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",58,N/A,72
Будівництво та цивільна інженерія,Національний університет імені Юрія Кондратюка,"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""",58,N/A,323
"Електроніка, електронні комунікації, приладобудування та радіотехніка",ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,58,N/A,83
Агрономія,ЛНУВМБ імені С. З. Ґжицького,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,58,N/A,388
Дошкільна освіта,ВНУ імені Лесі Українки,Волинський національний університет імені Лесі Українки,58,N/A,162
Харчові технології,НУБіП України,Національний університет біоресурсів і природокористування України,58,N/A,258
Будівництво та цивільна інженерія,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,57,N/A,369
Автомобільний транспорт,ХНАДУ,Харківський національний автомобільно-дорожній університет,56,N/A,209
Гірництво та нафтогазові технології,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,56,N/A,180
Енерговиробництво,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,56,N/A,123
Кібербезпека та захист інформації,КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",55,N/A,155
Терапія та реабілітація,ЗДМФУ,Запорізький державний медико-фармацевтичний університет,55,N/A,290
Архітектура та містобудування,ХНУМГ ім. О.М. Бекетова,Харківський національний університет міського господарства імені О.М. Бекетова,N/A,55,156
Кібербезпека та захист інформації,ХНУРЕ,Харківський національний університет радіоелектроніки,55,N/A,226
Менеджмент,Львівська політехніка,"Національний університет ""Львівська політехніка""",55,N/A,3112
Інформаційно-вимірювальні технології,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,55,N/A,218
Історія та археологія,КНУТШ,Київський національний університет імені Тараса Шевченка,55,N/A,290
Початкова освіта,ХНПУ імені Г.С.Сковороди,Харківський національний педагогічний університет імені Г.С. Сковороди,54,N/A,153
Хімія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,54,N/A,113
Будівництво та цивільна інженерія,"ДВНЗ ""УжНУ""","Державний вищий навчальний заклад ""Ужгородський національний університет""",54,N/A,291
Будівництво та цивільна інженерія,КНУ,Криворізький національний університет,54,N/A,126
Геодезія та землеустрій,НУБіП України,Національний університет біоресурсів і природокористування України,54,N/A,344
Міжнародне право,КНУТШ,Київський національний університет імені Тараса Шевченка,54,N/A,1005
Будівництво та цивільна інженерія,"НУ ""Чернігівська політехніка""","Національний університет ""Чернігівська політехніка""",53,N/A,143
Комп'ютерні науки,ХНЕУ ім. С. Кузнеця,Харківський національний економічний університет імені Семена Кузнеця,53,N/A,196
Початкова освіта,ПНПУ ІМЕНІ В.Г.КОРОЛЕНКА,Полтавський національний педагогічний університет імені В.Г. Короленка,53,N/A,144
Тваринництво,ЛНУВМБ імені С. З. Ґжицького,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,53,N/A,83
Середня освіта,ДДПУ,Дрогобицький державний педагогічний університет імені Івана Франка,53,N/A,130
Кібербезпека та захист інформації,"НТУ ""ДП""","Національний технічний університет ""Дніпровська політехніка""",53,N/A,381
Автомобільний транспорт,НТУ,Національний транспортний університет,53,N/A,336
Філологія,НаУКМА,"Національний університет ""Києво-Могилянська академія""",53,N/A,209
Фізична культура і спорт,УДУНТ,Український державний університет науки і технологій,N/A,52,150
"Електроніка, електронні комунікації, приладобудування та радіотехніка",СумДУ,Сумський державний університет,52,N/A,65
Геодезія та землеустрій,Львівська політехніка,"Національний університет ""Львівська політехніка""",52,N/A,421
Агроінженерія,ВНАУ,Вінницький національний аграрний університет,52,N/A,350
Машинобудування,НУБіП України,Національний університет біоресурсів і природокористування України,52,N/A,136
